iter	Passed	Remaining
0	0	97
1	1	89
2	2	84
3	3	77
4	4	76
5	4	75
6	5	76
7	6	75
8	7	75
9	8	76
10	9	76
11	10	76
12	11	74
13	11	72
14	12	70
15	13	69
16	13	67
17	14	66
18	15	64
19	15	63
20	16	62
21	17	61
22	17	60
23	18	58
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	44
39	29	44
40	30	43
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
