iter	Passed	Remaining
0	0	735
1	1	870
2	2	950
3	3	902
4	4	856
5	4	820
6	5	789
7	6	770
8	6	752
9	7	746
10	8	734
11	8	723
12	9	715
13	10	709
14	10	700
15	11	692
16	12	693
17	12	691
18	13	686
19	13	681
20	14	677
21	15	673
22	15	670
23	16	673
24	18	702
25	19	729
26	20	727
27	20	722
28	21	718
29	22	713
30	22	709
31	23	705
32	23	701
33	24	697
34	25	694
35	25	692
36	26	689
37	27	686
38	27	683
39	28	680
40	28	677
41	29	674
42	30	671
43	30	668
44	31	671
45	33	685
46	33	689
47	35	697
48	36	699
49	36	697
50	37	694
51	37	691
52	38	689
53	39	687
54	39	685
55	40	683
56	41	682
57	41	681
58	42	679
59	43	677
60	43	676
61	44	675
62	45	673
63	45	672
64	48	690
65	49	694
66	49	693
67	50	691
68	51	689
69	51	687
70	52	685
71	53	691
72	54	690
73	55	688
74	55	687
75	56	685
76	57	683
77	57	681
78	58	679
79	58	678
80	59	676
81	60	674
82	60	669
83	61	667
84	64	692
85	65	693
86	66	693
87	66	693
88	68	700
89	69	698
90	69	699
91	70	697
92	72	705
93	73	704
94	73	701
95	74	699
96	74	696
97	75	693
98	75	691
99	76	688
100	78	696
101	79	700
102	80	699
103	80	696
104	81	694
105	82	692
106	82	689
107	83	686
108	83	684
109	84	681
110	84	679
111	85	676
112	85	673
113	86	671
114	86	669
115	87	667
116	87	663
117	88	662
118	89	659
119	89	657
120	90	655
121	90	652
122	91	650
123	92	653
124	93	654
125	94	654
126	95	656
127	96	654
128	96	652
129	97	651
130	97	649
131	98	647
132	98	645
133	99	643
134	100	641
135	100	639
136	101	637
137	101	635
138	102	633
139	102	631
140	103	629
141	103	626
142	104	624
143	104	623
144	105	621
145	105	619
146	106	620
147	108	621
148	109	622
149	109	622
150	110	621
151	111	619
152	111	617
153	112	615
154	112	614
155	113	612
156	113	610
157	114	609
158	114	607
159	115	605
160	115	603
161	116	601
162	116	599
163	117	598
164	117	596
165	118	595
166	119	593
167	119	592
168	120	590
169	120	589
170	121	589
171	122	590
172	123	591
173	124	592
174	125	591
175	125	589
176	126	588
177	127	587
178	127	585
179	128	584
180	128	583
181	129	582
182	130	581
183	130	580
184	132	584
185	133	585
186	134	583
187	134	582
188	135	581
189	136	579
190	137	580
191	138	580
192	138	579
193	139	578
194	139	577
195	140	576
196	141	577
197	142	577
198	143	576
199	143	574
200	144	573
201	144	571
202	145	570
203	146	569
204	146	568
205	147	567
206	147	565
207	148	564
208	148	563
209	149	561
210	149	560
211	150	559
212	151	560
213	153	562
214	154	564
215	155	563
216	155	562
217	156	561
218	157	560
219	157	559
220	158	558
221	158	556
222	159	555
223	160	554
224	160	553
225	161	552
226	161	551
227	162	550
228	163	549
229	163	548
230	164	547
231	165	547
232	165	546
233	167	547
234	168	548
235	169	548
236	170	549
237	171	548
